Regija,long,lat,order,hole,piece,id,group
kr,14.5590353,46.36380768,340,FALSE,1,0,0.1
kr,14.53347397,46.36378098,341,FALSE,1,0,0.1
kr,14.53345585,46.36022568,342,FALSE,1,0,0.1
kr,14.53343487,46.35667038,343,FALSE,1,0,0.1
kr,14.54362297,46.34956741,344,FALSE,1,0,0.1
kr,14.54356384,46.33890152,345,FALSE,1,0,0.1
kr,14.53332138,46.33533478,346,FALSE,1,0,0.1
kr,14.53326225,46.32466888,347,FALSE,1,0,0.1
kr,14.54858017,46.32112885,348,FALSE,1,0,0.1
kr,14.54854393,46.31401825,349,FALSE,1,0,0.1
kr,14.53829861,46.31045151,350,FALSE,1,0,0.1
kr,14.53318691,46.31044769,351,FALSE,1,0,0.1
kr,14.52807522,46.31044006,352,FALSE,1,0,0.1
kr,14.5280571,46.30688477,353,FALSE,1,0,0.1
kr,14.52294445,46.30688095,354,FALSE,1,0,0.1
kr,14.52292442,46.30332565,355,FALSE,1,0,0.1
kr,14.53312969,46.2997818,356,FALSE,1,0,0.1
kr,14.53818512,46.28911972,357,FALSE,1,0,0.1
kr,14.54839134,46.28557587,358,FALSE,1,0,0.1
kr,14.54321957,46.27490234,359,FALSE,1,0,0.1
kr,14.55344391,46.27491379,360,FALSE,1,0,0.1
kr,14.55342579,46.27135849,361,FALSE,1,0,0.1
kr,14.55340672,46.26780319,362,FALSE,1,0,0.1
kr,14.55852032,46.26780701,363,FALSE,1,0,0.1
kr,14.56357479,46.25714493,364,FALSE,1,0,0.1
kr,14.55840588,46.24647522,365,FALSE,1,0,0.1
kr,14.5583849,46.24291992,366,FALSE,1,0,0.1
kr,14.54816055,46.24290848,367,FALSE,1,0,0.1
kr,14.54304886,46.24290466,368,FALSE,1,0,0.1
kr,14.54303074,46.23934937,369,FALSE,1,0,0.1
kr,14.54300976,46.23579407,370,FALSE,1,0,0.1
kr,14.53276825,46.23222733,371,FALSE,1,0,0.1
kr,14.53272915,46.22511673,372,FALSE,1,0,0.1
kr,14.52248573,46.22154999,373,FALSE,1,0,0.1
kr,14.52246571,46.21799469,374,FALSE,1,0,0.1
kr,14.50199699,46.2144165,375,FALSE,1,0,0.1
kr,14.49682999,46.20374298,376,FALSE,1,0,0.1
kr,14.49171638,46.20373917,377,FALSE,1,0,0.1
kr,14.48149204,46.20372772,378,FALSE,1,0,0.1
kr,14.47126675,46.20371628,379,FALSE,1,0,0.1
kr,14.45593071,46.20370102,380,FALSE,1,0,0.1
kr,14.45589161,46.19659042,381,FALSE,1,0,0.1
kr,14.45074081,46.1894722,382,FALSE,1,0,0.1
kr,14.42006874,46.18944168,383,FALSE,1,0,0.1
kr,14.41495705,46.18943787,384,FALSE,1,0,0.1
kr,14.39962006,46.18941879,385,FALSE,1,0,0.1
kr,14.39958191,46.1823082,386,FALSE,1,0,0.1
kr,14.4148407,46.16810226,387,FALSE,1,0,0.1
kr,14.39948559,46.16453171,388,FALSE,1,0,0.1
kr,14.39946842,46.16097641,389,FALSE,1,0,0.1
kr,14.38924122,46.16096497,390,FALSE,1,0,0.1
kr,14.38413143,46.16096115,391,FALSE,1,0,0.1
kr,14.3841114,46.15740585,392,FALSE,1,0,0.1
kr,14.37388706,46.15739441,393,FALSE,1,0,0.1
kr,14.37384796,46.15028381,394,FALSE,1,0,0.1
kr,14.36873627,46.15027618,395,FALSE,1,0,0.1
kr,14.36362362,46.15027237,396,FALSE,1,0,0.1
kr,14.35851192,46.15026474,397,FALSE,1,0,0.1
kr,14.35340023,46.15026093,398,FALSE,1,0,0.1
