"TIME","GEO","INDIC_DE","UNIT","Value","Flag and Footnotes"
"2015","Estonia","Infant mortality rate","Rate","2.5",""
"2015","Ireland","Infant mortality rate","Rate","3.4",""
"2015","Greece","Infant mortality rate","Rate","4.0",""
"2015","Spain","Infant mortality rate","Rate","2.7",""
"2015","France","Infant mortality rate","Rate","3.7",""
"2015","Croatia","Infant mortality rate","Rate","4.1",""
"2015","Italy","Infant mortality rate","Rate","2.9",""
"2015","Cyprus","Infant mortality rate","Rate","2.7",""
"2015","Latvia","Infant mortality rate","Rate","4.1",""
"2015","Lithuania","Infant mortality rate","Rate","4.2",""
"2015","Luxembourg","Infant mortality rate","Rate","2.8",""
"2015","Hungary","Infant mortality rate","Rate","4.2",""
"2015","Malta","Infant mortality rate","Rate","5.8",""
"2015","Netherlands","Infant mortality rate","Rate","3.3",""
"2015","Austria","Infant mortality rate","Rate","3.1",""
"2015","Poland","Infant mortality rate","Rate","4.0",""
"2015","Portugal","Infant mortality rate","Rate","2.9",""
"2015","Romania","Infant mortality rate","Rate","7.5",""
"2015","Slovenia","Infant mortality rate","Rate","1.6",""
"2015","Slovakia","Infant mortality rate","Rate","5.1",""
"2015","Finland","Infant mortality rate","Rate","1.7",""
"2015","Sweden","Infant mortality rate","Rate","2.5",""
"2015","Iceland","Infant mortality rate","Rate","2.2",""
"2015","Liechtenstein","Infant mortality rate","Rate","6.2",""
"2015","Norway","Infant mortality rate","Rate","2.3",""
"2015","Switzerland","Infant mortality rate","Rate","3.9",""
"2015","United Kingdom","Infant mortality rate","Rate","3.9",""
"2015","Montenegro","Infant mortality rate","Rate","2.2",""
"2016","Belgium","Infant mortality rate","Rate","3.2",""
"2016","Bulgaria","Infant mortality rate","Rate","6.5",""
"2016","Czechia","Infant mortality rate","Rate","2.8",""
"2016","Denmark","Infant mortality rate","Rate","3.1",""
"2016","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.4",""
"2016","Estonia","Infant mortality rate","Rate","2.3",""
"2016","Ireland","Infant mortality rate","Rate","3.0",""
"2016","Greece","Infant mortality rate","Rate","4.2",""
"2016","Spain","Infant mortality rate","Rate","2.7",""
"2016","France","Infant mortality rate","Rate","3.7",""
"2016","Croatia","Infant mortality rate","Rate","4.3",""
"2016","Italy","Infant mortality rate","Rate","2.8",""
"2016","Cyprus","Infant mortality rate","Rate","2.6",""
"2016","Latvia","Infant mortality rate","Rate","3.7",""
"2016","Lithuania","Infant mortality rate","Rate","4.5",""
"2016","Luxembourg","Infant mortality rate","Rate","3.8",""
"2016","Hungary","Infant mortality rate","Rate","3.9",""
"2016","Malta","Infant mortality rate","Rate","7.4",""
"2016","Netherlands","Infant mortality rate","Rate","3.5",""
"2016","Austria","Infant mortality rate","Rate","3.1",""
"2016","Poland","Infant mortality rate","Rate","4.0",""
"2016","Portugal","Infant mortality rate","Rate","3.2",""
"2016","Romania","Infant mortality rate","Rate","6.8",""
"2016","Slovenia","Infant mortality rate","Rate","2.0",""
"2016","Slovakia","Infant mortality rate","Rate","5.4",""
"2016","Finland","Infant mortality rate","Rate","1.9",""
"2016","Sweden","Infant mortality rate","Rate","2.5",""
"2016","Iceland","Infant mortality rate","Rate","0.7",""
"2016","Liechtenstein","Infant mortality rate","Rate","2.6",""
"2016","Norway","Infant mortality rate","Rate","2.2",""
"2016","Switzerland","Infant mortality rate","Rate","3.6",""
"2016","United Kingdom","Infant mortality rate","Rate","3.8",""
"2016","Montenegro","Infant mortality rate","Rate","3.4",""
"2017","Belgium","Infant mortality rate","Rate","3.6",""
"2017","Bulgaria","Infant mortality rate","Rate","6.4",""
"2017","Czechia","Infant mortality rate","Rate","2.7",""
"2017","Denmark","Infant mortality rate","Rate","3.8",""
"2017","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.3",""
"2017","Estonia","Infant mortality rate","Rate","2.3",""
"2017","Ireland","Infant mortality rate","Rate","3.0",""
"2017","Greece","Infant mortality rate","Rate","3.5",""
"2017","Spain","Infant mortality rate","Rate","2.7",""
"2017","France","Infant mortality rate","Rate","3.9",""
"2017","Croatia","Infant mortality rate","Rate","4.0",""
"2017","Italy","Infant mortality rate","Rate","2.7",""
"2017","Cyprus","Infant mortality rate","Rate","1.3",""
