"TIME","GEO","ICCS","LEG_STAT","SEX","UNIT","Value","Flag and Footnotes"
"2010","Austria","Sexual assault","Convicted person","Total","Number","207",""
"2010","Poland","Intentional homicide","Convicted person","Total","Number","359",""
"2010","Poland","Rape","Convicted person","Total","Number","826",""
"2010","Poland","Sexual assault","Convicted person","Total","Number","254",""
"2010","Portugal","Intentional homicide","Convicted person","Total","Number","120",""
"2010","Portugal","Rape","Convicted person","Total","Number","75",""
"2010","Portugal","Sexual assault","Convicted person","Total","Number","335",""
"2010","Romania","Intentional homicide","Convicted person","Total","Number","883",""
"2010","Romania","Rape","Convicted person","Total","Number","463",""
"2010","Romania","Sexual assault","Convicted person","Total","Number","128",""
"2010","Slovenia","Intentional homicide","Convicted person","Total","Number","18",""
"2010","Slovenia","Rape","Convicted person","Total","Number","16",""
"2010","Slovenia","Sexual assault","Convicted person","Total","Number","88",""
"2010","Slovakia","Intentional homicide","Convicted person","Total","Number","60",""
"2010","Slovakia","Rape","Convicted person","Total","Number","36",""
"2010","Slovakia","Sexual assault","Convicted person","Total","Number","22",""
"2010","Finland","Intentional homicide","Convicted person","Total","Number","74",""
"2010","Finland","Rape","Convicted person","Total","Number","95",""
"2010","Finland","Sexual assault","Convicted person","Total","Number","367",""
"2010","Sweden","Intentional homicide","Convicted person","Total","Number","166",""
"2010","Sweden","Rape","Convicted person","Total","Number","351",""
"2010","Sweden","Sexual assault","Convicted person","Total","Number","608",""
"2010","Iceland","Intentional homicide","Convicted person","Total","Number",":",""
"2010","Iceland","Rape","Convicted person","Total","Number",":",""
"2010","Iceland","Sexual assault","Convicted person","Total","Number",":",""
"2010","Liechtenstein","Intentional homicide","Convicted person","Total","Number","0",""
"2010","Liechtenstein","Rape","Convicted person","Total","Number","0",""
"2010","Liechtenstein","Sexual assault","Convicted person","Total","Number",":",""
"2010","Norway","Intentional homicide","Convicted person","Total","Number","29",""
"2010","Norway","Rape","Convicted person","Total","Number","237",""
"2010","Norway","Sexual assault","Convicted person","Total","Number","307",""
"2010","Switzerland","Intentional homicide","Convicted person","Total","Number","48",""
"2010","Switzerland","Rape","Convicted person","Total","Number","152",""
"2010","Switzerland","Sexual assault","Convicted person","Total","Number","628",""
"2010","England and Wales","Intentional homicide","Convicted person","Total","Number","346",""
"2010","England and Wales","Rape","Convicted person","Total","Number","1,058",""
"2010","England and Wales","Sexual assault","Convicted person","Total","Number","4,675",""
"2010","Scotland","Intentional homicide","Convicted person","Total","Number","49",""
"2010","Scotland","Rape","Convicted person","Total","Number","22",""
"2010","Scotland","Sexual assault","Convicted person","Total","Number","160",""
"2010","Northern Ireland (UK)","Intentional homicide","Convicted person","Total","Number","15",""
"2010","Northern Ireland (UK)","Rape","Convicted person","Total","Number","13",""
"2010","Northern Ireland (UK)","Sexual assault","Convicted person","Total","Number","603",""
