"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2008","Finland","Age reached during the year","Total","Number","Total","29,114",""
"2008","Finland","Age reached during the year","Total","Number","Males","15,864",""
"2008","Finland","Age reached during the year","Total","Number","Females","13,250",""
"2008","Sweden","Age reached during the year","Total","Number","Total","101,171",""
"2008","Sweden","Age reached during the year","Total","Number","Males","52,460",""
"2008","Sweden","Age reached during the year","Total","Number","Females","48,711",""
"2008","Iceland","Age reached during the year","Total","Number","Total","10,288",""
"2008","Iceland","Age reached during the year","Total","Number","Males","5,959",""
"2008","Iceland","Age reached during the year","Total","Number","Females","4,329",""
"2008","Liechtenstein","Age reached during the year","Total","Number","Total","578","b"
"2008","Liechtenstein","Age reached during the year","Total","Number","Males","306","b"
"2008","Liechtenstein","Age reached during the year","Total","Number","Females","272","b"
"2008","Norway","Age reached during the year","Total","Number","Total","58,123","b"
"2008","Norway","Age reached during the year","Total","Number","Males","32,381","b"
"2008","Norway","Age reached during the year","Total","Number","Females","25,742","b"
"2008","Switzerland","Age reached during the year","Total","Number","Total","184,297",""
"2008","Switzerland","Age reached during the year","Total","Number","Males","99,826",""
"2008","Switzerland","Age reached during the year","Total","Number","Females","84,471",""
"2008","United Kingdom","Age reached during the year","Total","Number","Total","590,242","b"
"2008","United Kingdom","Age reached during the year","Total","Number","Males","309,931","b"
"2008","United Kingdom","Age reached during the year","Total","Number","Females","280,311","b"
"2008","Montenegro","Age reached during the year","Total","Number","Total",":",""
"2008","Montenegro","Age reached during the year","Total","Number","Males",":",""
"2008","Montenegro","Age reached during the year","Total","Number","Females",":",""
"2008","North Macedonia","Age reached during the year","Total","Number","Total","1,052",""
"2008","North Macedonia","Age reached during the year","Total","Number","Males","391",""
"2008","North Macedonia","Age reached during the year","Total","Number","Females","661",""
"2009","Belgium","Age reached during the year","Total","Number","Total",":",""
"2009","Belgium","Age reached during the year","Total","Number","Males",":",""
"2009","Belgium","Age reached during the year","Total","Number","Females",":",""
"2009","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2009","Bulgaria","Age reached during the year","Total","Number","Males",":",""
"2009","Bulgaria","Age reached during the year","Total","Number","Females",":",""
"2009","Czechia","Age reached during the year","Total","Number","Total","75,620",""
"2009","Czechia","Age reached during the year","Total","Number","Males","43,502",""
"2009","Czechia","Age reached during the year","Total","Number","Females","32,118",""
"2009","Denmark","Age reached during the year","Total","Number","Total","51,800",""
"2009","Denmark","Age reached during the year","Total","Number","Males","26,027",""
"2009","Denmark","Age reached during the year","Total","Number","Females","25,773",""
"2009","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","346,216","b"
"2009","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Males","187,142","b"
"2009","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Females","159,074","b"
"2009","Estonia","Age reached during the year","Total","Number","Total","3,884",""
"2009","Estonia","Age reached during the year","Total","Number","Males","2,368",""
"2009","Estonia","Age reached during the year","Total","Number","Females","1,516",""
"2009","Ireland","Age reached during the year","Total","Number","Total","50,604",""
"2009","Ireland","Age reached during the year","Total","Number","Males","25,230",""
